Month,Financial_Year,Banks_Live,UPI_Volume_Mn,UPI_Value_Cr,Month_Start_Date,Year,Month_Number,Quarter,Avg_Transaction_Value,MoM_Volume_Growth_%,MoM_Value_Growth_%,YoY_Volume_Growth_%,YoY_Value_Growth_%,Month_Name,Calendar_Quarter
April-2021,2021-22,220,2641.06,493663.68,2021-04-01,2021,4,Q1,186.91876746457862,,,,,April,2
May-2021,2021-22,224,2539.57,490638.65,2021-05-01,2021,5,Q1,193.1975295030261,-3.84,-0.61,,,May,2
June-2021,2021-22,229,2807.51,547373.17,2021-06-01,2021,6,Q1,194.96748720396366,10.55,11.56,,,June,2
July-2021,2021-22,235,3247.82,606281.14,2021-07-01,2021,7,Q2,186.6732577544322,15.68,10.76,,,July,3
August-2021,2021-22,249,3555.55,639116.95,2021-08-01,2021,8,Q2,179.75192304987974,9.47,5.42,,,August,3
September-2021,2021-22,259,3654.3,654351.81,2021-09-01,2021,9,Q2,179.06351695263115,2.78,2.38,,,September,3
October-2021,2021-22,261,4218.65,771444.98,2021-10-01,2021,10,Q3,182.86536688277056,15.44,17.89,,,October,4
November-2021,2021-22,274,4186.48,768436.11,2021-11-01,2021,11,Q3,183.5518406871644,-0.76,-0.39,,,November,4
December-2021,2021-22,282,4566.3,826848.22,2021-12-01,2021,12,Q3,181.0761929789983,9.07,7.6,,,December,4
January-2022,2021-22,297,4617.15,831993.11,2022-01-01,2022,1,Q4,180.19624876817952,1.11,0.62,,,January,1
February-2022,2021-22,304,4527.49,826843.0,2022-02-01,2022,2,Q4,182.6272393754597,-1.94,-0.62,,,February,1
March-2022,2021-22,314,5405.65,960581.66,2022-03-01,2022,3,Q4,177.6995661946297,19.4,16.17,,,March,1
April-2022,2022-23,316,5583.05,983302.27,2022-04-01,2022,4,Q1,176.1227769767421,3.28,2.37,111.39,99.18,April,2
May-2022,2022-23,323,5955.2,1041520.07,2022-05-01,2022,5,Q1,174.8925426518001,6.67,5.92,134.5,112.28,May,2
June-2022,2022-23,330,5862.75,1014384.31,2022-06-01,2022,6,Q1,173.02192827597972,-1.55,-2.61,108.82,85.32,June,2
July-2022,2022-23,338,6288.4,1062991.76,2022-07-01,2022,7,Q2,169.04009923032888,7.26,4.79,93.62,75.33,July,3
August-2022,2022-23,346,6579.63,1072792.68,2022-08-01,2022,8,Q2,163.04756954418409,4.63,0.92,85.05,67.86,August,3
September-2022,2022-23,358,6780.8,1116438.1,2022-09-01,2022,9,Q2,164.64695906087778,3.06,4.07,85.56,70.62,September,3
October-2022,2022-23,365,7305.42,1211582.51,2022-10-01,2022,10,Q3,165.84707107873334,7.74,8.52,73.17,57.05,October,4
November-2022,2022-23,376,7309.45,1190593.39,2022-11-01,2022,11,Q3,162.88412808077214,0.06,-1.73,74.6,54.94,November,4
December-2022,2022-23,382,7829.49,1282055.01,2022-12-01,2022,12,Q3,163.74693753999304,7.11,7.68,71.46,55.05,December,4
January-2023,2022-23,385,8036.89,1298726.62,2023-01-01,2023,1,Q4,161.59566946916036,2.65,1.3,74.07,56.1,January,1
February-2023,2022-23,390,7534.76,1235846.62,2023-02-01,2023,2,Q4,164.01937420700858,-6.25,-4.84,66.42,49.47,February,1
March-2023,2022-23,399,8685.3,1410443.01,2023-03-01,2023,3,Q4,162.39427653621638,15.27,14.13,60.67,46.83,March,1
April-2023,2023-24,414,8863.26,1415504.71,2023-04-01,2023,4,Q1,159.70474859137607,2.05,0.36,58.75,43.95,April,2
May-2023,2023-24,445,9415.19,1489145.44,2023-05-01,2023,5,Q1,158.16414113788463,6.23,5.2,58.1,42.98,May,2
June-2023,2023-24,458,9335.06,1475464.26,2023-06-01,2023,6,Q1,158.05621602860614,-0.85,-0.92,59.23,45.45,June,2
July-2023,2023-24,473,9964.61,1533536.44,2023-07-01,2023,7,Q2,153.89829004848156,6.74,3.94,58.46,44.27,July,3
August-2023,2023-24,484,10586.02,1576536.56,2023-08-01,2023,8,Q2,148.92627824243672,6.24,2.8,60.89,46.96,August,3
September-2023,2023-24,492,10555.69,1579133.18,2023-09-01,2023,9,Q2,149.60018530290296,-0.29,0.16,55.67,41.44,September,3
October-2023,2023-24,505,11408.79,1715768.34,2023-10-01,2023,10,Q3,150.39003610374107,8.08,8.65,56.17,41.61,October,4
November-2023,2023-24,516,11235.29,1739740.61,2023-11-01,2023,11,Q3,154.84607962945327,-1.52,1.4,53.71,46.12,November,4
December-2023,2023-24,522,12020.23,1822949.42,2023-12-01,2023,12,Q3,151.65678360563817,6.99,4.78,53.53,42.19,December,4
January-2024,2023-24,550,12203.02,1841083.97,2024-01-01,2024,1,Q4,150.87117533200797,1.52,0.99,51.84,41.76,January,1
February-2024,2023-24,560,12102.67,1827869.35,2024-02-01,2024,2,Q4,151.0302561335639,-0.82,-0.72,60.62,47.9,February,1
March-2024,2023-24,572,13440.0,1978353.23,2024-03-01,2024,3,Q4,147.19890104166666,11.05,8.23,54.74,40.26,March,1
April-2024,2024-25,583,13303.99,1964464.52,2024-04-01,2024,4,Q1,147.65980130772797,-1.01,-0.7,50.1,38.78,April,2
May-2024,2024-25,598,14035.84,2044937.05,2024-05-01,2024,5,Q1,145.69395561647895,5.5,4.1,49.08,37.32,May,2
June-2024,2024-25,602,13885.14,2007081.2,2024-06-01,2024,6,Q1,144.54886302910882,-1.07,-1.85,48.74,36.03,June,2
July-2024,2024-25,605,14435.55,2064292.41,2024-07-01,2024,7,Q2,143.0006068352089,3.96,2.85,44.87,34.61,July,3
August-2024,2024-25,608,14963.05,2060735.57,2024-08-01,2024,8,Q2,137.72162560440552,3.65,-0.17,41.35,30.71,August,3
September-2024,2024-25,622,15041.75,2063994.71,2024-09-01,2024,9,Q2,137.21772466634533,0.53,0.16,42.5,30.7,September,3
October-2024,2024-25,632,16584.97,2349821.46,2024-10-01,2024,10,Q3,141.683793217594,10.26,13.85,45.37,36.95,October,4
November-2024,2024-25,637,15482.02,2155187.4,2024-11-01,2024,11,Q3,139.2058271465868,-6.65,-8.28,37.8,23.88,November,4
December-2024,2024-25,641,16730.01,2324699.91,2024-12-01,2024,12,Q3,138.95388645912348,8.06,7.87,39.18,27.52,December,4
January-2025,2024-25,647,16996.0,2348037.12,2025-01-01,2025,1,Q4,138.15233702047541,1.59,1.0,39.28,27.54,January,1
February-2025,2024-25,653,16106.19,2196481.69,2025-02-01,2025,2,Q4,136.375001785028,-5.24,-6.45,33.08,20.17,February,1
March-2025,2024-25,661,18301.51,2477221.61,2025-03-01,2025,3,Q4,135.35613236284874,13.63,12.78,36.17,25.22,March,1
April-2025,2025-26,668,17893.42,2394925.87,2025-04-01,2025,4,Q1,133.84394207479622,-2.23,-3.32,34.5,21.91,April,2
